event_date,event_id,event_name,member_key,full_name,external_combined_incoming_score,external_combined_predicted_time,external_combined_predicted_rank,external_logtime_incoming_score,external_logtime_predicted_time,external_logtime_predicted_rank,external_logtime_no_tier_incoming_score,external_logtime_no_tier_predicted_time,external_logtime_no_tier_predicted_rank,score_diff_comb_log,time_diff_comb_log,rank_diff_comb_log,score_diff_abs,time_diff_abs,rank_diff_abs,rank_flip_same_time
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,22713270,Christina Harwell,0.4277687733088425,3461.552337412044,70,0.3827873299099725,3743.533485060979,113,0.4277687733088425,3461.552337412044,70,0.04498144339887,-281.9811476489349,-43,0.04498144339887,281.9811476489349,43,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,23764523,Aubrey Barrow,0.3993978812508985,3561.166048489492,83,0.4861950576427896,3375.765859009542,53,0.3993978812508985,3561.166048489492,83,-0.0867971763918911,185.40018947994986,30,0.0867971763918911,185.40018947994986,30,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,22477088,Samantha Saake,0.3491808035966916,3744.563709058004,111,0.3423137226720341,3898.155742459086,141,0.3491808035966916,3744.563709058004,111,0.006867080924657543,-153.59203340108206,-30,0.006867080924657543,153.59203340108206,30,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,24244256,Kelsie Foster,0.2958976697853848,3949.4970607341097,150,0.3686886114962453,3796.686322536794,122,0.2958976697853848,3949.4970607341097,150,-0.07279094171086053,152.8107381973159,28,0.07279094171086053,152.8107381973159,28,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,22195550,Carmen Dueñas,0.3206247102262194,3853.035210127311,129,0.3276823829910762,3955.610276693013,153,0.3206247102262194,3853.035210127311,129,-0.007057672764856804,-102.57506656570195,-24,0.007057672764856804,102.57506656570195,24,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,21583590,Lindsay Wang,0.4018972632894924,3552.27644791316,79,0.3945221729003884,3699.860456620907,103,0.4018972632894924,3552.27644791316,79,0.007375090389104,-147.58400870774676,-24,0.007375090389104,147.58400870774676,24,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,23848490,Ryder Jackson,0.3079593077156621,3902.145798139341,143,0.3737437719719729,3777.541893749316,119,0.3079593077156621,3902.145798139341,143,-0.06578446425631079,124.60390439002504,24,0.06578446425631079,124.60390439002504,24,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,20533269,Elizaveta Gallagher,0.3579815989750253,3711.75316130736,107,0.4233741019128806,3594.637585923256,86,0.3579815989750253,3711.75316130736,107,-0.06539250293785531,117.11557538410398,21,0.06539250293785531,117.11557538410398,21,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,21249910,Lena Nguyen-Vo,0.308363882995142,3900.5674057232895,142,0.3691523600100047,3794.92602309718,121,0.308363882995142,3900.5674057232895,142,-0.060788477014862674,105.64138262610959,21,0.060788477014862674,105.64138262610959,21,False
2026-03-29,260329.02,2026 USA Jigsaw Nationals Individual Final,24728793,Jamie Marsigit,0.3693907224931942,3669.645970839658,99,0.4386814072738155,3540.0323663434624,79,0.3693907224931942,3669.645970839658,99,-0.06929068478062128,129.61360449619542,20,0.06929068478062128,129.61360449619542,20,False
