month,cohort_month,n,median_jpar,p75_jpar
2025-04,2025-04,620,1.1580686678211094,1.5058428865012243
2025-05,2025-04,620,1.1593380079927553,1.4802204729906274
2025-05,2025-05,37,1.271747640838495,1.53801584081465
2025-06,2025-04,620,1.1793489134299557,1.4802204729906274
2025-06,2025-05,37,1.271747640838495,1.5556928868162323
2025-06,2025-06,25,1.7623285503895345,2.461363499160368
2025-07,2025-04,620,1.2052176322639903,1.5134146185155468
2025-07,2025-05,37,1.2809356854746765,1.524525900521109
2025-07,2025-06,25,1.7623285503895345,2.461363499160368
2025-07,2025-07,39,1.4702222124402229,1.7944220278878904
2025-08,2025-04,620,1.2234667644595154,1.5196809179615245
2025-08,2025-05,37,1.2697983786148532,1.524525900521109
2025-08,2025-06,25,1.7623285503895345,2.461363499160368
2025-08,2025-07,39,1.5111762209069206,1.7944220278878904
2025-08,2025-08,64,1.702971360579824,2.1084157088041926
2025-09,2025-04,620,1.219397576737433,1.5158672432118876
2025-09,2025-05,37,1.2901264016182297,1.524525900521109
2025-09,2025-06,25,1.7623285503895345,2.461363499160368
2025-09,2025-07,39,1.512622472199106,1.7944220278878904
2025-09,2025-08,64,1.7238868933868745,2.1084157088041926
2025-09,2025-09,16,1.1619827332218933,1.2668989768991534
2025-10,2025-04,620,1.241172470972646,1.5630206329781595
2025-10,2025-05,37,1.3072271714107768,1.5988285976542462
2025-10,2025-06,25,1.7623285503895345,2.461363499160368
2025-10,2025-07,39,1.512622472199106,1.7944220278878904
2025-10,2025-08,64,1.7238868933868745,2.1084157088041926
2025-10,2025-09,16,1.1992602981279876,1.2764708160073477
2025-10,2025-10,38,2.352679934490393,2.862056532623665
2025-11,2025-04,620,1.2751900141894463,1.6389841430459695
2025-11,2025-05,37,1.4454786164512852,1.6987757954384917
2025-11,2025-06,25,1.7623285503895345,2.461363499160368
2025-11,2025-07,39,1.5213649485370202,1.7944220278878904
2025-11,2025-08,64,1.7457824838198754,2.1084157088041926
2025-11,2025-09,16,1.2089921153525616,1.3776168113019602
2025-11,2025-10,38,2.352679934490393,2.862056532623665
2025-11,2025-11,90,2.2241566755369355,2.5368975006052894
2025-12,2025-04,620,1.2751900141894463,1.6389841430459695
2025-12,2025-05,37,1.4454786164512852,1.6987757954384917
2025-12,2025-06,25,1.7623285503895345,2.461363499160368
2025-12,2025-07,39,1.5213649485370202,1.7944220278878904
2025-12,2025-08,64,1.7457824838198754,2.1084157088041926
2025-12,2025-09,16,1.2089921153525616,1.3776168113019602
2025-12,2025-10,38,2.352679934490393,2.862056532623665
2025-12,2025-11,90,2.2241566755369355,2.5368975006052894
2025-12,2025-12,3,15.67837870493118,17.387401373396717
2026-01,2025-04,620,1.273352759834077,1.6389841430459695
2026-01,2025-05,37,1.4454786164512852,1.6987757954384917
2026-01,2025-06,25,1.7623285503895345,2.461363499160368
2026-01,2025-07,39,1.5213649485370202,1.7944220278878904
2026-01,2025-08,64,1.7457824838198754,2.1084157088041926
2026-01,2025-09,16,1.2089921153525616,1.3901786886052305
2026-01,2025-10,38,2.352679934490393,2.862056532623665
2026-01,2025-11,90,2.1974758258719174,2.488029266584915
2026-01,2025-12,3,15.67837870493118,17.387401373396717
2026-01,2026-01,23,1.4381677276730305,1.6922126807938591
2026-03,2025-04,620,1.302082213475475,1.6604427471496357
2026-03,2025-05,37,1.4030482475513764,1.6750029160321904
2026-03,2025-06,25,1.7623285503895345,2.3892905336582637
2026-03,2025-07,39,1.5213649485370202,1.798939240995536
2026-03,2025-08,64,1.7457824838198754,2.083201562066666
2026-03,2025-09,16,1.2089921153525616,1.3901786886052305
2026-03,2025-10,38,2.315826329444655,2.734176254868664
2026-03,2025-11,90,2.08743550823003,2.488029266584915
2026-03,2025-12,3,15.67837870493118,17.387401373396717
2026-03,2026-01,23,1.4381677276730305,1.6922126807938591
2026-03,2026-03,269,1.830535418792376,2.41171283305079
2026-05,2025-04,620,1.3080913820306699,1.6609949463316305
2026-05,2025-05,37,1.4030482475513764,1.6750029160321904
2026-05,2025-06,25,1.7623285503895345,2.3892905336582637
2026-05,2025-07,39,1.5213649485370202,1.798939240995536
2026-05,2025-08,64,1.7457824838198754,2.083201562066666
2026-05,2025-09,16,1.2089921153525616,1.3901786886052305
2026-05,2025-10,38,2.315826329444655,2.734176254868664
2026-05,2025-11,90,2.04970496618874,2.4654902104052714
2026-05,2025-12,3,15.67837870493118,17.387401373396717
2026-05,2026-01,23,1.4490406753485316,1.6922126807938591
2026-05,2026-03,269,1.830535418792376,2.41171283305079
2026-05,2026-05,19,1.8621029568026932,2.172207216596932
