full_name,events,jpar_rank,system_rank,jpar,system,rank_delta_vs_jpar
Itisha Jefferson,1,1243,1,22.55370621114154,trueskill_conservative,-1242.0
Stephanie Campbell,1,1242,1,19.096424041862253,trueskill_conservative,-1241.0
Kyle Campbell,1,1241,1,15.67837870493118,trueskill_conservative,-1240.0
Mikayla Taylor,1,1240,1,6.720224730237368,trueskill_conservative,-1239.0
Sandra Exley,1,1239,1,5.577146957575034,trueskill_conservative,-1238.0
Kristi Frohreich,1,1238,1,5.464369555919892,trueskill_conservative,-1237.0
Vicky Vetter,1,1237,1,5.341478845932001,trueskill_conservative,-1236.0
Bari Weinberger,1,1236,1,5.283300444261962,trueskill_conservative,-1235.0
Donna Sutton,1,1235,1,5.273016894841796,trueskill_conservative,-1234.0
Mary Jane Pumphrey,1,1234,1,5.241554405434297,trueskill_conservative,-1233.0
Connie Bickford,1,1233,1,5.147813666826583,trueskill_conservative,-1232.0
Khodi Cleland,1,1232,1,4.923220829537486,trueskill_conservative,-1231.0
Kim Bergesen,1,1231,1,4.829233789368284,trueskill_conservative,-1230.0
Tracy Swearingen,1,1230,1,4.56929667048467,trueskill_conservative,-1229.0
Elizabeth Faye,1,1229,1,4.550250929063369,trueskill_conservative,-1228.0
Deb McKibben,1,1228,1,4.491499213009248,trueskill_conservative,-1227.0
Liz Gurevitch,1,1226,1,4.46675681375512,trueskill_conservative,-1225.0
Barbara Fisher,1,1226,1,4.46675681375512,trueskill_conservative,-1225.0
Kaylyn Anderson,1,1225,1,4.258929402127843,trueskill_conservative,-1224.0
Erika Hunter,2,1224,1,4.257435237860489,trueskill_conservative,-1223.0
Elessa Freelingos,1,1223,1,4.076928782128773,trueskill_conservative,-1222.0
Jill Fowler,1,1222,1,4.037980382775808,trueskill_conservative,-1221.0
Todd Lentz,1,1221,1,4.021219538803082,trueskill_conservative,-1220.0
Marie Singleton,1,1220,1,3.9515843035885703,trueskill_conservative,-1219.0
Darrell Wilson,1,1219,1,3.930061811383092,trueskill_conservative,-1218.0
Lila King,1,1218,1,3.8696877926564097,trueskill_conservative,-1217.0
Karen Cardoza,1,1217,1,3.8424183989603247,trueskill_conservative,-1216.0
Jessie Ngo,1,1216,1,3.791674106619596,trueskill_conservative,-1215.0
David Lockner,1,1215,1,3.762486961240496,trueskill_conservative,-1214.0
Mikayla Taylor,1,1240,26,6.720224730237368,msp_like_score,-1214.0
Patty Baker,2,1214,1,3.740562592645457,trueskill_conservative,-1213.0
Tim Conner,1,1213,1,3.7314224651715215,trueskill_conservative,-1212.0
Jared Cardiel,1,1212,1,3.6589811852801946,trueskill_conservative,-1211.0
Kelty Zavitz,1,1211,1,3.6087382333301017,trueskill_conservative,-1210.0
Abbey English,1,1210,1,3.5841525350672656,trueskill_conservative,-1209.0
Janet Li,1,1209,1,3.522220248745732,trueskill_conservative,-1208.0
Stephanie Zimmerman,1,1208,1,3.4900113661622005,trueskill_conservative,-1207.0
Melissa Stupka,1,1207,1,3.480571333414728,trueskill_conservative,-1206.0
Virginia Gulde,1,1206,1,3.4657837278083843,trueskill_conservative,-1205.0
Jessi Yoder,1,1205,1,3.456981462506302,trueskill_conservative,-1204.0
Sonia Weaver,1,1204,1,3.43011012629678,trueskill_conservative,-1203.0
Cathy Cimaglia,2,1203,1,3.408840726286801,trueskill_conservative,-1202.0
Reagan Wolfe,1,1202,1,3.3995067045265954,trueskill_conservative,-1201.0
Josh Serna,1,1201,1,3.390917641172087,trueskill_conservative,-1200.0
Mary Beth Collins,1,1199,1,3.383652248013746,trueskill_conservative,-1198.0
Keiko Kita,1,1199,1,3.383652248013746,trueskill_conservative,-1198.0
Monica Ganz,3,1198,1,3.373774421642836,trueskill_conservative,-1197.0
Elsa King,1,1197,1,3.358463769740691,trueskill_conservative,-1196.0
Jeesung Yun,1,1196,1,3.321520668273544,trueskill_conservative,-1195.0
Erika Jodice,1,1195,1,3.306432552325581,trueskill_conservative,-1194.0
Angela McPherson,1,1194,1,3.299560988896304,trueskill_conservative,-1193.0
Rachelle Ashmore,1,1193,1,3.286080413076522,trueskill_conservative,-1192.0
Rhonda Willock,1,1192,1,3.27510083851246,trueskill_conservative,-1191.0
Mikayla Taylor,1,1240,49,6.720224730237368,weighted_log_zscore,-1191.0
Allison Kunz,2,1191,1,3.2744606359094908,trueskill_conservative,-1190.0
Jean Doroff,4,1190,1,3.272931568113678,trueskill_conservative,-1189.0
Cayla Eller,1,1189,1,3.2650817258711045,trueskill_conservative,-1188.0
Kathy Briggs,1,1188,1,3.233308504789968,trueskill_conservative,-1187.0
Karen Doukas,1,1187,1,3.220502476707211,trueskill_conservative,-1186.0
Abbey Trotta,1,1186,1,3.212236224520051,trueskill_conservative,-1185.0
Kate Amey,8,1185,1,3.204472309372155,trueskill_conservative,-1184.0
Rachel Heeren,1,1184,1,3.204310282709593,trueskill_conservative,-1183.0
Julie Headlee,7,1183,1,3.200396580138998,trueskill_conservative,-1182.0
Robert Magsipoc,1,1182,1,3.1914171948496795,trueskill_conservative,-1181.0
Fusako Menna,1,1181,1,3.189629558715844,trueskill_conservative,-1180.0
Quantesha Pittman,1,1179,1,3.1769680536955964,trueskill_conservative,-1178.0
Cheri Dracobly,1,1179,1,3.1769680536955964,trueskill_conservative,-1178.0
Karen Kee,2,1178,1,3.1597895464081374,trueskill_conservative,-1177.0
Jody Murphy,1,1177,1,3.155069532831772,trueskill_conservative,-1176.0
Heidi Haynes,1,1176,1,3.143984241510465,trueskill_conservative,-1175.0
Julie Hadfield,1,1175,1,3.115982685565413,trueskill_conservative,-1174.0
Natalie Jackson,1,1174,1,3.115011557771935,trueskill_conservative,-1173.0
Brian Casimiro,1,1173,1,3.109369228552254,trueskill_conservative,-1172.0
Johanna Geurkink,1,1172,1,3.0818075999061487,trueskill_conservative,-1171.0
Andrew Howard,1,1171,1,3.076480484758616,trueskill_conservative,-1170.0
Annie Mei,1,1170,1,3.0529820169585173,trueskill_conservative,-1169.0
Connie Mangilin,4,1169,1,3.0491502166092976,trueskill_conservative,-1168.0
Jennifer Carlson,1,1168,1,3.045592312141088,trueskill_conservative,-1167.0
Mikayla Taylor,1,1240,74,6.720224730237368,conservative_log_zscore,-1166.0
Gamaliel James,1,1167,1,3.0417922706517184,trueskill_conservative,-1166.0
Laura Wiley,2,1166,1,3.0393302553765897,trueskill_conservative,-1165.0
Gregory Wiseburn,3,1165,1,3.035080950062328,trueskill_conservative,-1164.0
Jenni Won,1,1164,1,3.028634816536774,trueskill_conservative,-1163.0
Mary Wheeler,2,1163,1,3.0173134533915023,trueskill_conservative,-1162.0
Ritika Kanade,1,1162,1,3.0109162261329194,trueskill_conservative,-1161.0
Susan Wailes,1,1161,1,3.0044399860540225,trueskill_conservative,-1160.0
Rachel McClain,1,1160,1,2.9968696456928376,trueskill_conservative,-1159.0
Vivian Wong,1,1159,1,2.99632768010471,trueskill_conservative,-1158.0
Tim Collins,1,1158,1,2.99272706521593,trueskill_conservative,-1157.0
Stephanie Joe,1,1157,1,2.9845355359363817,trueskill_conservative,-1156.0
Kimberly Collier,1,1156,1,2.982987520283682,trueskill_conservative,-1155.0
Jeff Soesbe,4,1155,1,2.982186031697168,trueskill_conservative,-1154.0
Linda Hayes,1,1154,1,2.966261446319381,trueskill_conservative,-1153.0
Kari Loftesness,1,1151,1,2.9554171936635485,trueskill_conservative,-1150.0
James Powers,1,1151,1,2.9554171936635485,trueskill_conservative,-1150.0
Allison Wong,1,1151,1,2.9554171936635485,trueskill_conservative,-1150.0
Emily Chen,1,1150,1,2.952954346002162,trueskill_conservative,-1149.0
Kelly Hudson,1,1149,1,2.942525983168759,trueskill_conservative,-1148.0
Melanie Bietz,1,1148,1,2.9156011564711366,trueskill_conservative,-1147.0
Mikayla Taylor,1,1240,93,6.720224730237368,weighted_event_percentile,-1147.0
Ginger Cline,1,1147,1,2.902178775646284,trueskill_conservative,-1146.0
